Original_MDOT_Name,Standardized_Name,Edge_Nodes,AADT_Current,Station_Description,Match_Type
BALTO NATIONAL PIKE,BALTO NATIONAL PIKE,"[{49485824, 393490947, 393490948, 37647366, 49485836, 393490963, 393490964, 393490988, 37441069, 1271244332, 49489467, 37481020, 37585981, 49489470, 393491007, 920739392, 393491010, 49489477, 393491018, 1404152910, 1404152911, 393491026, 37680728, 37586012, 37407325, 37248612, 37680740, 37680743, 37680753, 37680761, 37680763, 1271244417, 49459331, 960965766, 2590652039, 37680776, 1079224970, 37680781, 37319312, 5250910363, 37680798, 37318818, 960965796, 49485989, 4244888240, 49497271, 49497272, 37586105, 49497276, 37510342, 89606346, 960965847, 1053407451, 37595881, 920739050, 960965867, 37535989, 37398783, 960965892, 37429009, 37436182, 37365528, 37680924, 256102175, 37680933, 37680938, 37680943, 37379891, 37680949, 37508421, 9119379786, 982829400, 982829403, 5250822647, 37420904, 256102248, 37681022, 37681023, 960966049, 37468072, 37520315, 49503163, 1930984898, 49503170, 1930984900, 37429735, 7825296361, 49479157, 393490935, 393490939, 393490942}]",17742,US40-.10 MI W OF EDMONDSON AVE,exact
BAYARD ST,BAYARD ST,"[{1399203073, 49421763, 49463012, 49485156, 49493123, 49459431, 49464359, 49498087, 49462794, 49556142, 49528180, 49493173, 49556150, 49468889, 49535451, 49479804}]",1675,BAYARD ST - BETWEEN MD 295 & RIDGELY ST,exact
BEACHWOOD RD,BEACHWOOD RD,"[{37238276, 37238278, 37238280, 37641320, 37830441, 37238293, 37661561, 37661563, 37641310}]",2865,BEACHWOOD RD - .10 MILE NORTH OF NORTH POINT RD,exact
BEACHWOOD RD,BEACHWOOD RD,"[{37238276, 37238278, 37238280, 37641320, 37830441, 37238293, 37661561, 37661563, 37641310}]",895,BEACHWOOD RD - .10 MILE SOUTH OF LYNHURST RD,exact
BEACHWOOD RD,BEACHWOOD RD,"[{37238276, 37238278, 37238280, 37641320, 37830441, 37238293, 37661561, 37661563, 37641310}]",895,BEACHWOOD RD - .10 MILE SOUTH OF LYNHURST RD,exact
BEAVER DAM RD,BEAVER DAM RD,"[{37606921, 37399050, 37641482, 37285902, 37336734, 37355300, 37641638, 12037835431, 12037835432, 37423921, 37635381, 37612727, 37423933, 37615954, 37267667, 37482836, 37641430, 37667803, 37641572, 37641577, 37641461, 9570039927, 37336824, 9570039929, 37582588}]",9885,BEAVER DAM RD - .10 MILE SOUTH OF MD 943/WARREN RD,exact
BEAVER DAM RD,BEAVER DAM RD,"[{37606921, 37399050, 37641482, 37285902, 37336734, 37355300, 37641638, 12037835431, 12037835432, 37423921, 37635381, 37612727, 37423933, 37615954, 37267667, 37482836, 37641430, 37667803, 37641572, 37641577, 37641461, 9570039927, 37336824, 9570039929, 37582588}]",6315,BEAVER DAM RD-.20 MI N OF IS83 STRUC #3060,exact
BEAVER DAM RD,BEAVER DAM RD,"[{37606921, 37399050, 37641482, 37285902, 37336734, 37355300, 37641638, 12037835431, 12037835432, 37423921, 37635381, 37612727, 37423933, 37615954, 37267667, 37482836, 37641430, 37667803, 37641572, 37641577, 37641461, 9570039927, 37336824, 9570039929, 37582588}]",26454,BEAVER DAM RD - BETWEEN MCCORMICK RD & COCKEYSVILLE RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1625,BECKLEYSVILLE RD - .10 MILE SOUTH OF MIDDLETOWN RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1825,BECKLEYSVILLE RD - .10 MILE SOUTH OF MD 25/FALLS RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1255,BECKLEYSVILLE RD - .10 MILE SOUTH OF COTTER RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1255,BECKLEYSVILLE RD - .10 MILE SOUTH OF COTTER RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1255,BECKLEYSVILLE RD - .10 MILE SOUTH OF COTTER RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1255,BECKLEYSVILLE RD - .10 MILE SOUTH OF COTTER RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1255,BECKLEYSVILLE RD - .10 MILE SOUTH OF COTTER RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1255,BECKLEYSVILLE RD - .10 MILE SOUTH OF COTTER RD,exact
BECKLEYSVILLE RD,BECKLEYSVILLE RD,"[{37586692, 37683719, 37587243, 37587182, 37586712, 37586745, 37587100, 37586846}]",1255,BECKLEYSVILLE RD - .10 MILE SOUTH OF COTTER RD,exact
BEECHDALE RD,BEECHDALE RD,"[{49467289, 49571489, 49467292}]",405,BEECHDALE RD - .10 MI WEST OF ROLAND AVE,exact
BEECHFIELD AVE,S BEECHFIELD AVE,"[{49501568, 49399169, 49501572, 37602059, 49493909, 49504666, 37670298, 37626921, 49524671, 49486415, 37619923, 49524694, 49515735, 49504603, 49464667, 37776350, 49504617, 49524723, 49524727, 37759868, 49524734}]",2615,BEECHFIELD AVE - BETWEEN MD 372 & WEST DR,fuzzy
BEECHFIELD AVE,S BEECHFIELD AVE,"[{49501568, 49399169, 49501572, 37602059, 49493909, 49504666, 37670298, 37626921, 49524671, 49486415, 37619923, 49524694, 49515735, 49504603, 49464667, 37776350, 49504617, 49524723, 49524727, 37759868, 49524734}]",11105,BEECHFIELD AVE - BETWEEN MD 372 & FORDHAM RD,fuzzy
BEECHFIELD AVE,S BEECHFIELD AVE,"[{49501568, 49399169, 49501572, 37602059, 49493909, 49504666, 37670298, 37626921, 49524671, 49486415, 37619923, 49524694, 49515735, 49504603, 49464667, 37776350, 49504617, 49524723, 49524727, 37759868, 49524734}]",11105,BEECHFIELD AVE - BETWEEN MD 372 & FORDHAM RD,fuzzy
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",23452,US1-.10 MI S OF TAYLOR AVE,exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",31045,US1-.10 MI N OF JOPPA RD/INDIA AVE,exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",21224,US1-.50 MI N OF MT. VISTA RD,exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",20580,US1-.25 MI S OF GLENMORE AVE,exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",32892,US1-.40 MI N OF PUTTY HILL AVE,exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",44822,US1-.20 MI N OF IS695 (FULLERTON),exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",26060,US1-.10 MI N OF CHAPEL RD/BAKER LA,exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",35430,US1-.20 MI S OF IS695 (FULLERTON),exact
BELAIR RD,BELAIR RD,"[{49501184, 49564160, 49564162, 49545732, 37652998, 49485318, 37653000, 37653002, 49556492, 49507855, 49564175, 2861197329, 37653012, 2861197333, 49564180, 49564183, 49544733, 37596702, 49564191, 37620768, 49497633, 49564195, 832307237, 37593640, 49512489, 4243525680, 8862827058, 4243525684, 8862827061, 49549365, 49482296, 37610041, 49477179, 49556028, 49539140, 2849664582, 37653063, 8709856328, 852480591, 49474128, 1616757841, 49470034, 37591136, 37316198, 49549418, 49523308, 699542131, 49515126, 37632123, 49536640, 49483394, 37411980, 37621901, 49399437, 49538711, 49478811, 37653155, 37653157, 3155413159, 37653159, 37653162, 37653165, 1079360686, 37653169, 832307380, 37653175, 37653179, 37638845, 37653188, 660503240, 37640398, 49530575, 49526992, 37539026, 1729969877, 1729969878, 37652696, 37645016, 37653214, 37653219, 37653223, 37653224, 37653225, 37653227, 1729969900, 37490926, 37651694, 1343765743, 37652721, 37652722, 49460463, 49525999, 1343765749, 37652725, 37652726, 1627879160, 37652729, 2804007161, 1343765754, 1343765751, 37652733, 1338531582, 37652735, 49438462, 37652737, 49458431, 49509631, 37652740, 49475332, 393523974, 49478918, 37652744, 37652745, 49548555, 37652749, 49548045, 37652751, 1485710608, 37652753, 1485710607, 49502486, 37562136, 1485710621, 1485710623, 49484064, 37652769, 37551907, 37652771, 832306989, 49531694, 49460527, 37652785, 49460020, 393521976, 49541437, 49513792, 692315458, 393524038, 37652806, 49531720, 37251403, 49510222, 49478479, 49391959, 49499995, 37652836, 529513829, 49473894, 49477477, 49475947, 1339113835, 37253486, 1455662961, 49556339, 37652854, 37652857, 49550714, 37607803, 49500028, 1947754377, 832307085, 49496464, 1947754390, 1947754392, 37652889, 37450650, 49564057, 37253532, 1947754397, 37652894, 49564059, 49488298, 37587888, 1140270007, 37606330, 49564091, 1947754428, 832307132, 37652927, 49503480, 1595169532, 37387717, 37652934, 49501125, 1604326347, 37602767, 3072116177, 49467354, 797772254, 37622239, 49564127, 49564133, 49564135, 49564139, 49501164, 973182450, 49544690, 973182452, 37652981, 37652985, 49564156, 49564158}]",20580,US1-.25 MI S OF GLENMORE AVE,exact
